,kiwerUsername,clientId,restaurantId,restaurant.location.lat,restaurant.location.lng,location.lat,location.lng,rating,created,courierArrived,pickedUp,botLoaded,waitingForClient,closed
2997,johan,5c417cc31741800004b38b38,5aabf6e84ef649000430bbb7,37.870027,-122.268592,37.871774699999996,-122.2558145,5.0,1548303133569,1548303691941,1548303695857,1548303858500,1548306568228,1548306873618
2998,johan,589bbda1100ca50004796e34,57f337b847030d0003357669,37.868349,-122.258907,37.865167499999984,-122.26447265625,5.0,1548302529654,1548303262289,1548303283184,1548303880101,1548305528457,1548305640453
2999,dianaleano,5ad8db6462e91800047160a2,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.8643985,-122.26235349999999,5.0,1548301573801,1548301875915,1548302294951,1548302374348,1548302942635,1548303023059
3000,juanbenitez,5bad62d59e839000042634fc,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.8657843,-122.25486110000001,5.0,1548298028862,1548298354325,1548298461511,1548298724380,1548299775950,1548299917543
3001,,5bad62d59e839000042634fc,589bef66de8f980004317df2,,,37.8657843,-122.25486110000001,,1548297887154,None,None,None,None,1548297935988
3002,juanbenitez,5b3e95b8de60880004c78e2c,5af4e45dfddc930004f04529,37.8678892,-122.256836,37.8646043,-122.2612453,5.0,1548296690826,1548297760339,1548297885656,1548297915870,1548298913913,1548299075136
3003,juanbenitez,5b9ea2b18d33c60004d6e8fc,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.8664801,-122.2506626,4.0,1548296585046,1548297316756,1548297453313,1548297568635,1548299708547,1548299794767
3004,valeria,5b771b4d1ecf6c0004908047,58a6615b4432ee00048187d3,37.872342,-122.268696,37.86622049999999,-122.25484159999999,,1548296297076,1548296721585,1548296781636,1548297452451,1548298820323,1548298962889
3005,johan,5b7f3eec4753ff00044326f2,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.863919,-122.2538975,5.0,1548291609447,1548292720760,1548292749408,1548292897973,1548293921673,1548294087788
3006,johan,5b7f3eec4753ff00044326f2,5963ce3e8f904b0004b3f6c4,37.870018,-122.268605,37.8638479,-122.2540584,,1548291556378,1548292216270,1548292228156,1548292919537,1548293916735,1548294090773
3008,johan,5a6d0a5c2e72c30004e35870,58ac0a13e6acc80004bd5857,37.870441,-122.2665,37.8647097,-122.2658884,,1548288432644,1548289847014,1548289876797,1548290029773,1548290406133,1548290967130
